data,hora,temperatura
04/18/2021,14:00:00,23.1
04/18/2021,15:00:00,23.2
04/18/2021,16:00:00,24
04/18/2021,17:00:00,23.4
04/18/2021,18:00:00,21.8
04/18/2021,19:00:00,21.6
04/18/2021,20:00:00,21.6
04/18/2021,21:00:00,21.8
04/18/2021,22:00:00,21.8
04/18/2021,23:00:00,21.6
04/19/2021,00:00:00,21.6
04/19/2021,01:00:00,21.6
04/19/2021,02:00:00,21.5
04/19/2021,03:00:00,22.3
04/19/2021,04:00:00,22.9
04/19/2021,05:00:00,23.4
04/19/2021,06:00:00,24.6
04/19/2021,07:00:00,22.8
04/19/2021,08:00:00,23.8
04/19/2021,09:00:00,25.2
04/19/2021,10:00:00,26.4
04/19/2021,11:00:00,27.3
04/19/2021,12:00:00,28.6
04/19/2021,13:00:00,28.8
04/19/2021,14:00:00,29.6
04/19/2021,15:00:00,27.3
04/19/2021,16:00:00,26
04/19/2021,17:00:00,24.6
04/19/2021,18:00:00,23.8
04/19/2021,19:00:00,23.6
04/19/2021,20:00:00,23.6
04/19/2021,21:00:00,22.8
04/19/2021,22:00:00,22.8
04/19/2021,23:00:00,22.5
04/20/2021,00:00:00,22.1
04/20/2021,01:00:00,22.1
04/20/2021,02:00:00,22.1
04/20/2021,03:00:00,22.5
04/20/2021,04:00:00,22.9
04/20/2021,05:00:00,23.5
04/20/2021,06:00:00,24.2
04/20/2021,07:00:00,22.8
04/20/2021,08:00:00,24
04/20/2021,09:00:00,25.3
04/20/2021,10:00:00,26
04/20/2021,11:00:00,29
04/20/2021,12:00:00,28
04/20/2021,13:00:00,30
04/20/2021,14:00:00,30
04/20/2021,15:00:00,30.9
04/20/2021,16:00:00,30
04/20/2021,17:00:00,28
04/20/2021,18:00:00,26.3
04/20/2021,19:00:00,24.8
04/20/2021,20:00:00,23.8
04/20/2021,21:00:00,23.8
04/20/2021,22:00:00,23.6
04/20/2021,23:00:00,23
04/21/2021,00:00:00,23
04/21/2021,01:00:00,22.6
04/21/2021,02:00:00,22.6
04/21/2021,03:00:00,23.3
04/21/2021,04:00:00,23.7
04/21/2021,05:00:00,24.2
04/21/2021,06:00:00,25.5
04/21/2021,07:00:00,24
04/21/2021,08:00:00,25
04/21/2021,09:00:00,26
04/21/2021,10:00:00,28
