nome,data,hora,potencia,
Pow-AC1Triunfo,04/16/2021,14:00:00,1501,9094492753622;0;0;1501
Pow-AC1Triunfo,04/16/2021,15:00:00,1865,9189669421487;0;0;1865
Pow-AC1Triunfo,04/16/2021,16:00:00,1807,1016949152543;0;0;1807
Pow-AC1Triunfo,04/16/2021,17:00:00,1222,860187110187;0;0;1222
Pow-AC1Triunfo,04/16/2021,18:00:00,0,
Pow-AC1Triunfo,04/16/2021,19:00:00,0,
Pow-AC1Triunfo,04/16/2021,20:00:00,0,
Pow-AC1Triunfo,04/16/2021,21:00:00,0,
Pow-AC1Triunfo,04/16/2021,22:00:00,0,
Pow-AC1Triunfo,04/16/2021,23:00:00,0,
Pow-AC1Triunfo,04/17/2021,00:00:00,0,
Pow-AC1Triunfo,04/17/2021,01:00:00,0,
Pow-AC1Triunfo,04/17/2021,02:00:00,0,
Pow-AC1Triunfo,04/17/2021,03:00:00,0,
Pow-AC1Triunfo,04/17/2021,04:00:00,0,
Pow-AC1Triunfo,04/17/2021,05:00:00,0,
Pow-AC1Triunfo,04/17/2021,06:00:00,0,
Pow-AC1Triunfo,04/17/2021,07:00:00,0,
Pow-AC1Triunfo,04/17/2021,08:00:00,0,
Pow-AC1Triunfo,04/17/2021,09:00:00,0,
Pow-AC1Triunfo,04/17/2021,10:00:00,0,
Pow-AC1Triunfo,04/17/2021,11:00:00,0,
Pow-AC1Triunfo,04/17/2021,12:00:00,0,
Pow-AC1Triunfo,04/17/2021,13:00:00,0,
Pow-AC1Triunfo,04/17/2021,14:00:00,0,
Pow-AC1Triunfo,04/17/2021,15:00:00,0,
Pow-AC1Triunfo,04/17/2021,16:00:00,0,
Pow-AC1Triunfo,04/17/2021,17:00:00,0,
Pow-AC1Triunfo,04/17/2021,18:00:00,0,
Pow-AC1Triunfo,04/17/2021,19:00:00,0,
Pow-AC1Triunfo,04/17/2021,20:00:00,0,
Pow-AC1Triunfo,04/17/2021,21:00:00,0,
Pow-AC1Triunfo,04/17/2021,22:00:00,0,
Pow-AC1Triunfo,04/17/2021,23:00:00,0,
Pow-AC1Triunfo,04/18/2021,00:00:00,0,
Pow-AC1Triunfo,04/18/2021,01:00:00,0,
Pow-AC1Triunfo,04/18/2021,02:00:00,0,
Pow-AC1Triunfo,04/18/2021,03:00:00,0,
Pow-AC1Triunfo,04/18/2021,04:00:00,0,
Pow-AC1Triunfo,04/18/2021,05:00:00,0,
Pow-AC1Triunfo,04/18/2021,06:00:00,0,
Pow-AC1Triunfo,04/18/2021,07:00:00,0,
Pow-AC1Triunfo,04/18/2021,08:00:00,0,
Pow-AC1Triunfo,04/18/2021,09:00:00,0,
Pow-AC1Triunfo,04/18/2021,10:00:00,0,
Pow-AC1Triunfo,04/18/2021,11:00:00,0,
Pow-AC1Triunfo,04/18/2021,12:00:00,0,
Pow-AC1Triunfo,04/18/2021,13:00:00,0,
Pow-AC1Triunfo,04/18/2021,14:00:00,0,
Pow-AC1Triunfo,04/18/2021,15:00:00,0,
Pow-AC1Triunfo,04/18/2021,16:00:00,0,
Pow-AC1Triunfo,04/18/2021,17:00:00,0,
Pow-AC1Triunfo,04/18/2021,18:00:00,0,
Pow-AC1Triunfo,04/18/2021,19:00:00,0,
Pow-AC1Triunfo,04/18/2021,20:00:00,0,
Pow-AC1Triunfo,04/18/2021,21:00:00,0,
Pow-AC1Triunfo,04/18/2021,22:00:00,0,
Pow-AC1Triunfo,04/18/2021,23:00:00,0,
Pow-AC1Triunfo,04/19/2021,00:00:00,0,
Pow-AC1Triunfo,04/19/2021,01:00:00,0,
Pow-AC1Triunfo,04/19/2021,02:00:00,0,
Pow-AC1Triunfo,04/19/2021,03:00:00,0,
Pow-AC1Triunfo,04/19/2021,04:00:00,0,
Pow-AC1Triunfo,04/19/2021,05:00:00,0,
Pow-AC1Triunfo,04/19/2021,06:00:00,0,
Pow-AC1Triunfo,04/19/2021,07:00:00,0,
Pow-AC1Triunfo,04/19/2021,08:00:00,1694,9540343915344;0;0;1694
Pow-AC1Triunfo,04/19/2021,09:00:00,1845,339100968188;0;0;1845
Pow-AC1Triunfo,04/19/2021,10:00:00,1862,3257880794702;0;0;1862
Pow-AC1Triunfo,04/19/2021,11:00:00,1644,054236453202;0;0;1644
