data,hora_utc,hora_simples,temperatura
28/04/2021,0500,05,22.4
28/04/2021,0600,06,21.5
28/04/2021,0700,07,21.7
28/04/2021,0800,08,22
28/04/2021,0900,09,22.9
28/04/2021,1000,10,23.6
28/04/2021,1100,11,24.5
28/04/2021,1200,12,25.9
28/04/2021,1300,13,23.1
28/04/2021,1400,14,25.7
28/04/2021,1500,15,26.8
28/04/2021,1600,16,28.4
28/04/2021,1700,17,27.6
28/04/2021,1800,18,26.8
28/04/2021,1900,19,24.6
28/04/2021,2000,20,24.3
28/04/2021,2100,21,23.5
28/04/2021,2200,22,23.4
28/04/2021,2300,23,23
29/04/2021,0000,00,22.7
29/04/2021,0100,01,22.4
29/04/2021,0200,02,22.2
29/04/2021,0300,03,22
29/04/2021,0400,04,22.2
29/04/2021,0500,05,21.8
29/04/2021,0600,06,21.5
29/04/2021,0700,07,21.6
29/04/2021,0800,08,21.6
29/04/2021,0900,09,21.9
29/04/2021,1000,10,23.2
29/04/2021,1100,11,24.3
29/04/2021,1200,12,26
29/04/2021,1300,13,27.1
29/04/2021,1400,14,27.7
29/04/2021,1500,15,28.3
29/04/2021,1600,16,27.8
29/04/2021,1700,17,28.2
29/04/2021,1800,18,26.5
29/04/2021,1900,19,25.6
29/04/2021,2000,20,24.6
29/04/2021,2100,21,23.2
29/04/2021,2200,22,22.9
29/04/2021,2300,23,23.1
30/04/2021,0000,00,22.7
30/04/2021,0100,01,22.5
30/04/2021,0200,02,22.2
30/04/2021,0300,03,21.9
30/04/2021,0400,04,21.7
30/04/2021,0500,05,21.5
30/04/2021,0600,06,21.1
30/04/2021,0700,07,21.1
30/04/2021,0800,08,20.7
30/04/2021,0900,09,21.5
30/04/2021,1000,10,22.4
30/04/2021,1100,11,23.6
30/04/2021,1200,12,24.7
30/04/2021,1300,13,25.5
30/04/2021,1400,14,24.3
30/04/2021,1500,15,25
30/04/2021,1600,16,26.7
30/04/2021,1700,17,24
30/04/2021,1800,18,25.3
30/04/2021,1900,19,24
30/04/2021,2000,20,22.7
30/04/2021,2100,21,22.9
30/04/2021,2200,22,22.9
30/04/2021,2300,23,22.4
01/05/2021,0000,00,22.3
01/05/2021,0100,01,21.7
01/05/2021,0200,02,21.4
01/05/2021,0300,03,21.1
01/05/2021,0400,04,21
01/05/2021,0500,05,20.7
01/05/2021,0600,06,20.7
01/05/2021,0700,07,20.5
01/05/2021,0800,08,20.4
01/05/2021,0900,09,21.1
01/05/2021,1000,10,22.2
01/05/2021,1100,11,23.2
01/05/2021,1200,12,25
01/05/2021,1300,13,25.5
01/05/2021,1400,14,27.5
01/05/2021,1500,15,24.9
01/05/2021,1600,16,27.3
01/05/2021,1700,17,28.3
01/05/2021,1800,18,28.1
01/05/2021,1900,19,27.1
01/05/2021,2000,20,25.4
01/05/2021,2100,21,24.3
01/05/2021,2200,22,23.5
01/05/2021,2300,23,23.1
02/05/2021,0000,00,22.9
02/05/2021,0100,01,22.1
02/05/2021,0200,02,21.6
02/05/2021,0300,03,21.8
02/05/2021,0400,04,21.7
02/05/2021,0500,05,21.6
02/05/2021,0600,06,21.6
02/05/2021,0700,07,21.2
02/05/2021,0800,08,20.6
02/05/2021,0900,09,20.9
02/05/2021,1000,10,22.3
02/05/2021,1100,11,23.7
02/05/2021,1200,12,25.3
02/05/2021,1300,13,26.6
02/05/2021,1400,14,27.2
02/05/2021,1500,15,28.1
02/05/2021,1600,16,28.5
02/05/2021,1700,17,28.2
02/05/2021,1800,18,28.7
02/05/2021,1900,19,27
02/05/2021,2000,20,26
02/05/2021,2100,21,24.9
02/05/2021,2200,22,24.1
02/05/2021,2300,23,23.7
03/05/2021,0000,00,23
03/05/2021,0100,01,22.4
03/05/2021,0200,02,22
03/05/2021,0300,03,21.7
03/05/2021,0400,04,21.6
03/05/2021,0500,05,21.3
03/05/2021,0600,06,21.2
03/05/2021,0700,07,21.2
03/05/2021,0800,08,21.2
03/05/2021,0900,09,21.6
03/05/2021,1000,10,22.3
03/05/2021,1100,11,23.8
03/05/2021,1200,12,25.4
03/05/2021,1300,13,26.4
03/05/2021,1400,14,27.4
03/05/2021,1500,15,27
03/05/2021,1600,16,27.7
03/05/2021,1700,17,26.3
03/05/2021,1800,18,26.3
03/05/2021,1900,19,24.2
03/05/2021,2000,20,22.7
03/05/2021,2100,21,22
03/05/2021,2200,22,21.9
03/05/2021,2300,23,23
