data,hora,sala,temperatura,hora_simples
09/22/2021,17:00:00,TH-Suporte,23.7,17
09/22/2021,17:00:00,TH teste,27.8,17
09/22/2021,17:00:01,TH-Caruru,27.8,17
09/22/2021,18:00:01,TH-Caruru,27.8,18
09/22/2021,18:00:01,TH-Suporte,23.1,18
09/22/2021,18:00:02,TH teste,27.8,18
09/22/2021,19:00:00,TH-Suporte,24.8,19
09/22/2021,19:00:00,TH teste,27.8,19
09/22/2021,19:00:00,TH-Caruru,27.8,19
09/22/2021,20:00:00,TH-Suporte,26.0,20
09/22/2021,20:00:00,TH-Caruru,27.8,20
09/22/2021,20:00:00,TH teste,27.8,20
09/23/2021,07:00:00,TH teste,27.8,07
09/23/2021,07:00:01,TH-Caruru,27.6,07
09/23/2021,07:00:01,TH-Suporte,28.2,07
09/23/2021,08:00:00,TH teste,27.8,08
09/23/2021,08:00:01,TH-Suporte,28.2,08
09/23/2021,08:00:01,TH-Caruru,27.6,08
09/23/2021,09:00:01,TH-Caruru,27.6,09
09/23/2021,09:00:01,TH-Suporte,25.8,09
09/23/2021,09:00:01,TH teste,27.8,09
09/23/2021,10:00:00,TH-Caruru,27.6,10
09/23/2021,10:00:00,TH-Suporte,24.2,10
09/23/2021,10:00:00,TH teste,27.8,10
09/23/2021,11:00:02,TH teste,27.8,11
09/23/2021,11:00:03,TH-Caruru,27.7,11
09/23/2021,11:00:03,TH-Suporte,23.6,11
09/23/2021,12:00:00,TH-Suporte,23.0,12
09/23/2021,12:00:00,TH-Caruru,27.8,12
09/23/2021,12:00:01,TH teste,27.8,12
09/23/2021,13:00:00,TH teste,27.8,13
09/23/2021,13:00:00,TH-Caruru,27.8,13
09/23/2021,13:00:01,TH-Suporte,23.4,13
09/23/2021,14:00:01,TH-Suporte,23.5,14
09/23/2021,14:00:01,TH teste,27.8,14
09/23/2021,14:00:01,TH-Caruru,27.8,14
09/23/2021,15:00:00,TH teste,27.8,15
09/23/2021,15:00:00,TH-Suporte,23.5,15
09/23/2021,15:00:01,TH-Caruru,27.8,15
09/23/2021,16:00:00,TH teste,27.8,16
09/23/2021,16:00:01,TH-Suporte,23.0,16
09/23/2021,16:00:01,TH-Caruru,27.8,16
09/23/2021,17:00:00,TH teste,27.8,17
09/23/2021,17:00:00,TH-Suporte,23.4,17
09/23/2021,17:00:00,TH-Caruru,27.8,17
09/23/2021,18:00:00,TH-Caruru,27.8,18
09/23/2021,18:00:00,TH-Suporte,25.2,18
09/23/2021,18:00:01,TH teste,27.8,18
09/23/2021,19:00:00,TH teste,27.8,19
09/23/2021,19:00:00,TH-Suporte,26.4,19
09/23/2021,19:00:00,TH-Caruru,27.8,19
09/23/2021,20:00:00,TH teste,27.8,20
09/23/2021,20:00:00,TH-Caruru,27.8,20
09/23/2021,20:00:01,TH-Suporte,27.0,20
09/27/2021,08:10:38,TH-Caruru,27.4,08
09/27/2021,08:10:39,TH-Suporte,28.5,08
09/27/2021,08:10:39,TH teste,27.8,08
09/27/2021,09:00:00,TH-Suporte,26.3,09
09/27/2021,09:00:01,TH teste,27.8,09
09/27/2021,09:00:01,TH-Caruru,27.4,09
09/27/2021,10:00:00,TH-Caruru,27.4,10
09/27/2021,10:00:00,TH-Suporte,24.5,10
09/27/2021,10:00:01,TH teste,27.8,10
09/27/2021,11:00:00,TH-Suporte,23.9,11
09/27/2021,11:00:01,TH-Caruru,27.5,11
09/27/2021,11:00:01,TH teste,27.8,11
09/27/2021,12:00:00,TH teste,27.8,12
09/27/2021,12:00:01,TH-Caruru,27.5,12
09/27/2021,12:00:01,TH-Suporte,23.5,12
09/27/2021,13:00:00,TH-Caruru,27.5,13
09/27/2021,13:00:00,TH-Suporte,23.7,13
09/27/2021,13:00:01,TH teste,27.8,13
09/27/2021,14:00:00,TH-Caruru,27.5,14
09/27/2021,14:00:00,TH-Suporte,22.9,14
09/27/2021,14:00:01,TH teste,27.8,14
09/27/2021,15:00:00,TH-Suporte,22.9,15
09/27/2021,15:00:00,TH teste,27.8,15
09/27/2021,15:00:01,TH-Caruru,27.5,15
09/27/2021,16:00:00,TH teste,27.8,16
09/27/2021,16:00:00,TH-Suporte,22.9,16
09/27/2021,16:00:01,TH-Caruru,27.5,16
09/27/2021,17:00:00,TH-Caruru,27.5,17
09/27/2021,17:00:00,TH-Suporte,22.8,17
09/27/2021,17:00:01,TH teste,27.8,17
09/27/2021,18:00:00,TH teste,27.8,18
09/27/2021,18:00:00,TH-Suporte,23.8,18
09/27/2021,18:00:01,TH-Caruru,27.5,18
09/27/2021,19:00:00,TH-Caruru,27.5,19
09/27/2021,19:00:00,TH-Suporte,25.6,19
09/27/2021,19:00:01,TH teste,27.8,19
09/27/2021,20:00:00,TH teste,27.8,20
09/27/2021,20:00:00,TH-Caruru,27.7,20
09/27/2021,20:00:00,TH-Suporte,26.4,20
09/28/2021,07:00:00,TH-Caruru,27.1,07
09/28/2021,07:00:01,TH-Suporte,27.8,07
09/28/2021,07:00:01,TH teste,27.8,07
09/28/2021,08:00:00,TH-Suporte,28.1,08
09/28/2021,08:00:01,TH teste,27.8,08
09/28/2021,08:00:01,TH-Caruru,27.1,08
09/28/2021,09:00:01,TH teste,27.8,09
09/28/2021,09:00:01,TH-Caruru,27.1,09
09/28/2021,09:00:01,TH-Suporte,25.7,09
09/28/2021,10:00:01,TH teste,27.8,10
09/28/2021,10:00:01,TH-Suporte,23.9,10
